report_id,report_date,location,report_type,report_text,hazard_category,sif_precursor,severity,risk_score,recommended_action
OIL-SAF-00945,2025-08-14,Maintenance Area,Near Miss,materials were stacked unsafely during inspection at the maintenance area.,Housekeeping,No,Low,40,Inspect area and implement controls
OIL-SAF-01269,2026-01-25,Loading Area,Unsafe Act,oil leakage was observed near hot equipment during equipment maintenance at the loading area. Immediate corrective action was initiated.,Fire/Explosion,Yes,High,62,Supervisor review required
OIL-SAF-04232,2026-03-15,Loading Area,Unsafe Act,operating procedure was not followed during equipment maintenance at the loading area. Immediate corrective action was initiated.,Process Safety,Yes,High,84,Supervisor review required
OIL-SAF-02308,2025-05-02,Refinery,Unsafe Condition,person stood too close to suspended load during inspection at the refinery.,Lifting,No,Low,5,Stop activity and correct hazard
OIL-SAF-04425,2026-02-05,Workshop,Unsafe Condition,damaged electrical cable was found in work area during equipment maintenance at the workshop. Immediate corrective action was initiated.,Electrical,Yes,Critical,72,Stop activity and correct hazard
OIL-SAF-04712,2025-08-01,Maintenance Area,Near Miss,oil spill was observed on walking surface during plant operation at the maintenance area.,Housekeeping,No,Low,6,Immediate intervention required
OIL-SAF-02314,2026-01-15,Storage Area,Unsafe Condition,hot work was performed without adequate fire protection during loading/unloading at the storage area.,Fire/Explosion,Yes,High,65,Stop activity and correct hazard
OIL-SAF-03215,2025-07-09,Storage Area,Near Miss,oil leakage was observed near hot equipment during inspection at the storage area. Immediate corrective action was initiated.,Fire/Explosion,Yes,Medium,55,Inspect area and implement controls
OIL-SAF-02733,2026-03-05,Drilling Site,Near Miss,lockout tagout was not applied before maintenance during inspection at the drilling site. Immediate corrective action was initiated.,Energy Isolation,Yes,High,78,Inspect area and implement controls
OIL-SAF-01927,2025-02-21,Maintenance Area,Unsafe Condition,toxic vapor was observed in work area during equipment maintenance at the maintenance area. Immediate corrective action was initiated.,Chemical Exposure,Yes,High,73,Immediate intervention required
OIL-SAF-04228,2025-09-29,Loading Area,Unsafe Condition,confined-space entry permit was missing during equipment maintenance at the loading area. Immediate corrective action was initiated.,Confined Space,Yes,Critical,57,Stop activity and correct hazard
OIL-SAF-04677,2026-02-26,Gas Processing Plant,Unsafe Act,work area contained an obstruction during inspection at the gas processing plant. No immediate injury was reported.,Housekeeping,No,Low,14,Immediate intervention required
OIL-SAF-00801,2026-05-03,Storage Area,Unsafe Condition,flammable material was stored near ignition source during routine maintenance at the storage area. Immediate corrective action was initiated.,Fire/Explosion,Yes,High,67,Supervisor review required
OIL-SAF-03672,2026-05-21,Storage Area,Near Miss,pipeline maintenance started without pressure isolation during inspection at the storage area.,Pressure,Yes,High,68,Immediate intervention required
OIL-SAF-04194,2025-05-01,Loading Area,Unsafe Act,safety goggles were missing during loading/unloading at the loading area. Immediate corrective action was initiated.,PPE,Yes,Critical,98,Immediate intervention required
OIL-SAF-02969,2025-03-24,Refinery,Unsafe Condition,electrical panel was opened without isolation during routine maintenance at the refinery. Immediate corrective action was initiated.,Electrical,Yes,High,58,Immediate intervention required
OIL-SAF-04794,2025-05-04,Drilling Site,Unsafe Act,technician used ladder without proper fall protection during equipment maintenance at the drilling site.,Working at Height,No,Low,12,Supervisor review required
OIL-SAF-04369,2025-07-22,Storage Area,Unsafe Condition,required PPE was not worn during routine maintenance at the storage area. No immediate injury was reported.,PPE,No,Low,5,Immediate intervention required
OIL-SAF-02777,2025-12-08,Refinery,Unsafe Condition,improper lifting technique was observed during loading/unloading at the refinery. No immediate injury was reported.,Lifting,No,Low,24,Stop activity and correct hazard
OIL-SAF-02971,2025-05-24,Production Unit,Unsafe Act,oil spill was observed on walking surface during contractor activity at the production unit.,Housekeeping,No,Low,48,Stop activity and correct hazard
OIL-SAF-03868,2025-06-01,Pipeline Area,Unsafe Act,worker handled hazardous chemical without required protection during equipment maintenance at the pipeline area. Immediate corrective action was initiated.,Chemical Exposure,Yes,Medium,73,Immediate intervention required
OIL-SAF-01744,2026-05-31,Production Unit,Unsafe Act,required PPE was not worn during contractor activity at the production unit.,PPE,Yes,High,56,Corrective action and follow-up required
OIL-SAF-03949,2026-07-28,Maintenance Area,Near Miss,electrical panel was opened without isolation during contractor activity at the maintenance area.,Electrical,Yes,Critical,95,Stop activity and correct hazard
OIL-SAF-03803,2025-11-24,Refinery,Near Miss,entered confined space without gas testing during inspection at the refinery.,Confined Space,No,Medium,33,Inspect area and implement controls
OIL-SAF-02025,2025-04-04,Refinery,Near Miss,scaffold had missing guardrails during contractor activity at the refinery. Immediate corrective action was initiated.,Working at Height,Yes,High,63,Immediate intervention required
OIL-SAF-02275,2026-07-08,Workshop,Near Miss,entered tank without permit during equipment maintenance at the workshop. Immediate corrective action was initiated.,Confined Space,Yes,Critical,89,Supervisor review required
OIL-SAF-00100,2025-12-01,Workshop,Unsafe Condition,improper lifting technique was observed during routine maintenance at the workshop.,Lifting,Yes,High,63,Supervisor review required
OIL-SAF-04922,2025-06-08,Production Unit,Near Miss,chemical container was leaking without containment during contractor activity at the production unit. Immediate corrective action was initiated.,Chemical Exposure,Yes,High,63,Stop activity and correct hazard
OIL-SAF-03408,2025-07-12,Workshop,Unsafe Condition,worker was working at height without fall protection during inspection at the workshop. No immediate injury was reported.,Working at Height,No,Low,16,Corrective action and follow-up required
OIL-SAF-04246,2025-01-02,Maintenance Area,Unsafe Act,flammable material was stored near ignition source during contractor activity at the maintenance area.,Fire/Explosion,Yes,High,75,Corrective action and follow-up required
OIL-SAF-04620,2026-02-04,Loading Area,Near Miss,vehicle and pedestrian routes were not segregated during plant operation at the loading area. Immediate corrective action was initiated.,Heavy Equipment,Yes,High,70,Stop activity and correct hazard
OIL-SAF-04917,2025-05-18,Workshop,Unsafe Act,equipment was isolated incorrectly during equipment maintenance at the workshop. Immediate corrective action was initiated.,Energy Isolation,Yes,High,79,Supervisor review required
OIL-SAF-00192,2026-05-16,Maintenance Area,Unsafe Act,worker handled hazardous chemical without required protection during plant operation at the maintenance area.,Chemical Exposure,Yes,High,74,Inspect area and implement controls
OIL-SAF-04697,2025-12-25,Maintenance Area,Near Miss,person worked near an unprotected edge during equipment maintenance at the maintenance area. Immediate corrective action was initiated.,Working at Height,Yes,High,98,Stop activity and correct hazard
OIL-SAF-01785,2025-10-20,Production Unit,Unsafe Act,equipment was isolated incorrectly during contractor activity at the production unit.,Energy Isolation,Yes,Critical,64,Corrective action and follow-up required
OIL-SAF-01533,2026-05-08,Production Unit,Unsafe Condition,person worked near an unprotected edge during equipment maintenance at the production unit. Immediate corrective action was initiated.,Working at Height,Yes,Critical,89,Corrective action and follow-up required
OIL-SAF-02835,2026-08-03,Production Unit,Unsafe Act,alarm was ignored during process operation during loading/unloading at the production unit.,Process Safety,Yes,High,95,Corrective action and follow-up required
OIL-SAF-04445,2026-07-09,Drilling Site,Unsafe Condition,flammable material was stored near ignition source during routine maintenance at the drilling site.,Fire/Explosion,Yes,High,69,Stop activity and correct hazard
OIL-SAF-04916,2025-10-03,Refinery,Unsafe Condition,critical safety barrier was bypassed during equipment maintenance at the refinery. Immediate corrective action was initiated.,Process Safety,Yes,High,66,Inspect area and implement controls
OIL-SAF-01599,2026-02-04,Maintenance Area,Unsafe Condition,flammable material was stored near ignition source during plant operation at the maintenance area.,Fire/Explosion,Yes,Critical,79,Stop activity and correct hazard
OIL-SAF-01780,2026-02-23,Storage Area,Unsafe Act,flammable material was stored near ignition source during plant operation at the storage area. Immediate corrective action was initiated.,Fire/Explosion,Yes,Critical,55,Inspect area and implement controls
OIL-SAF-04901,2025-11-24,Storage Area,Near Miss,worked inside vessel without atmospheric monitoring during routine maintenance at the storage area.,Confined Space,Yes,Medium,92,Supervisor review required
OIL-SAF-02575,2026-03-31,Refinery,Near Miss,equipment was isolated incorrectly during contractor activity at the refinery. Immediate corrective action was initiated.,Energy Isolation,Yes,High,71,Supervisor review required
OIL-SAF-03399,2026-03-16,Refinery,Near Miss,worker was exposed to high pressure line during contractor activity at the refinery. Immediate corrective action was initiated.,Pressure,Yes,High,56,Immediate intervention required
OIL-SAF-03976,2026-01-08,Refinery,Near Miss,process deviation was observed without corrective action during routine maintenance at the refinery. No immediate injury was reported.,Process Safety,No,Medium,37,Stop activity and correct hazard
OIL-SAF-03771,2025-01-05,Refinery,Near Miss,gas leak was detected near an ignition source during inspection at the refinery.,Fire/Explosion,Yes,High,77,Supervisor review required
OIL-SAF-00167,2025-03-31,Production Unit,Unsafe Act,worker stood within equipment blind spot during contractor activity at the production unit. Immediate corrective action was initiated.,Heavy Equipment,Yes,Medium,66,Inspect area and implement controls
OIL-SAF-01752,2025-10-17,Pipeline Area,Unsafe Condition,lockout tagout was not applied before maintenance during equipment maintenance at the pipeline area.,Energy Isolation,Yes,High,93,Corrective action and follow-up required
OIL-SAF-01480,2025-02-07,Drilling Site,Unsafe Act,worker handled hazardous chemical without required protection during loading/unloading at the drilling site.,Chemical Exposure,No,Low,43,Supervisor review required
OIL-SAF-01025,2025-05-05,Refinery,Unsafe Condition,technician used ladder without proper fall protection during equipment maintenance at the refinery.,Working at Height,Yes,Critical,84,Inspect area and implement controls
OIL-SAF-01789,2026-05-31,Pipeline Area,Unsafe Act,equipment was isolated incorrectly during plant operation at the pipeline area.,Energy Isolation,Yes,Critical,69,Stop activity and correct hazard
OIL-SAF-02265,2025-05-11,Storage Area,Near Miss,worker handled hazardous chemical without required protection during inspection at the storage area.,Chemical Exposure,Yes,Critical,81,Stop activity and correct hazard
OIL-SAF-02474,2025-05-25,Loading Area,Unsafe Condition,confined-space entry permit was missing during equipment maintenance at the loading area. Immediate corrective action was initiated.,Confined Space,Yes,Critical,61,Immediate intervention required
OIL-SAF-01823,2025-03-09,Pipeline Area,Unsafe Act,flammable material was stored near ignition source during plant operation at the pipeline area. Immediate corrective action was initiated.,Fire/Explosion,Yes,Critical,89,Immediate intervention required
OIL-SAF-01221,2025-09-08,Gas Processing Plant,Unsafe Condition,worker handled hazardous chemical without required protection during loading/unloading at the gas processing plant. Immediate corrective action was initiated.,Chemical Exposure,Yes,Critical,68,Corrective action and follow-up required
OIL-SAF-01667,2025-10-02,Maintenance Area,Unsafe Act,entered confined space without gas testing during plant operation at the maintenance area.,Confined Space,No,Low,52,Inspect area and implement controls
OIL-SAF-02961,2025-07-20,Gas Processing Plant,Unsafe Condition,safety goggles were missing during inspection at the gas processing plant.,PPE,No,Low,51,Corrective action and follow-up required
OIL-SAF-00153,2025-12-28,Loading Area,Near Miss,critical safety barrier was bypassed during equipment maintenance at the loading area. Immediate corrective action was initiated.,Process Safety,Yes,Critical,73,Stop activity and correct hazard
OIL-SAF-02535,2025-04-06,Refinery,Near Miss,worker was exposed to high pressure line during loading/unloading at the refinery. Immediate corrective action was initiated.,Pressure,Yes,High,71,Corrective action and follow-up required
OIL-SAF-04689,2026-08-18,Storage Area,Unsafe Act,work area contained an obstruction during equipment maintenance at the storage area.,Housekeeping,No,Low,14,Inspect area and implement controls
OIL-SAF-01979,2026-07-02,Production Unit,Near Miss,oil leakage was observed near hot equipment during routine maintenance at the production unit. Immediate corrective action was initiated.,Fire/Explosion,Yes,High,57,Stop activity and correct hazard
OIL-SAF-01470,2025-10-01,Maintenance Area,Unsafe Condition,entered confined space without gas testing during loading/unloading at the maintenance area. Immediate corrective action was initiated.,Confined Space,Yes,High,69,Corrective action and follow-up required
OIL-SAF-02808,2025-08-21,Workshop,Near Miss,flammable material was stored near ignition source during contractor activity at the workshop. No immediate injury was reported.,Fire/Explosion,No,Low,36,Supervisor review required
OIL-SAF-02513,2026-05-25,Loading Area,Near Miss,damaged electrical cable was found in work area during equipment maintenance at the loading area. Immediate corrective action was initiated.,Electrical,Yes,High,78,Immediate intervention required
OIL-SAF-02944,2026-01-31,Storage Area,Near Miss,chemical container was leaking without containment during routine maintenance at the storage area.,Chemical Exposure,Yes,High,72,Supervisor review required
OIL-SAF-02981,2025-08-16,Production Unit,Near Miss,materials were stacked unsafely during plant operation at the production unit.,Housekeeping,No,Medium,9,Stop activity and correct hazard
OIL-SAF-04823,2025-01-30,Pipeline Area,Unsafe Act,electrical panel was opened without isolation during plant operation at the pipeline area. Immediate corrective action was initiated.,Electrical,Yes,High,67,Inspect area and implement controls
OIL-SAF-03018,2026-08-15,Workshop,Unsafe Condition,alarm was ignored during process operation during contractor activity at the workshop. Immediate corrective action was initiated.,Process Safety,Yes,Critical,63,Corrective action and follow-up required
OIL-SAF-01567,2025-07-29,Production Unit,Near Miss,pressurized equipment was opened without depressurization during equipment maintenance at the production unit.,Pressure,Yes,Critical,69,Supervisor review required
OIL-SAF-00032,2025-09-28,Loading Area,Near Miss,worker was working at height without fall protection during contractor activity at the loading area. Immediate corrective action was initiated.,Working at Height,Yes,High,68,Corrective action and follow-up required
OIL-SAF-00938,2026-02-12,Gas Processing Plant,Near Miss,maintenance was performed without electrical lockout during contractor activity at the gas processing plant. Immediate corrective action was initiated.,Electrical,Yes,Critical,58,Supervisor review required
OIL-SAF-01216,2025-07-01,Pipeline Area,Unsafe Act,process deviation was observed without corrective action during inspection at the pipeline area.,Process Safety,Yes,High,83,Supervisor review required
OIL-SAF-01938,2026-06-30,Pipeline Area,Near Miss,worked inside vessel without atmospheric monitoring during loading/unloading at the pipeline area.,Confined Space,Yes,Critical,68,Corrective action and follow-up required
OIL-SAF-01130,2026-04-27,Gas Processing Plant,Unsafe Act,improper lifting technique was observed during contractor activity at the gas processing plant. No immediate injury was reported.,Lifting,No,Medium,19,Stop activity and correct hazard
OIL-SAF-00310,2026-02-09,Production Unit,Unsafe Condition,electrical panel was opened without isolation during loading/unloading at the production unit. Immediate corrective action was initiated.,Electrical,Yes,High,65,Supervisor review required
OIL-SAF-04902,2026-05-19,Gas Processing Plant,Unsafe Act,work area contained an obstruction during routine maintenance at the gas processing plant. No immediate injury was reported.,Housekeeping,No,Low,9,Corrective action and follow-up required
OIL-SAF-02169,2025-07-05,Production Unit,Unsafe Condition,vehicle and pedestrian routes were not segregated during loading/unloading at the production unit. Immediate corrective action was initiated.,Heavy Equipment,Yes,Critical,70,Supervisor review required
OIL-SAF-03114,2025-12-18,Maintenance Area,Near Miss,required PPE was not worn during loading/unloading at the maintenance area. No immediate injury was reported.,PPE,No,Low,19,Supervisor review required
OIL-SAF-00496,2026-04-09,Loading Area,Near Miss,safety gloves were not used during plant operation at the loading area. No immediate injury was reported.,PPE,No,Medium,52,Supervisor review required
OIL-SAF-00206,2025-04-25,Production Unit,Unsafe Act,alarm was ignored during process operation during routine maintenance at the production unit.,Process Safety,Yes,High,78,Immediate intervention required
OIL-SAF-02674,2025-06-30,Maintenance Area,Near Miss,worker handled hazardous chemical without required protection during loading/unloading at the maintenance area.,Chemical Exposure,No,Low,52,Immediate intervention required
OIL-SAF-03358,2025-10-25,Refinery,Near Miss,poor housekeeping created a slip hazard during plant operation at the refinery.,Housekeeping,No,Low,21,Immediate intervention required
OIL-SAF-03831,2025-04-09,Maintenance Area,Near Miss,load was unstable during lifting during inspection at the maintenance area. Immediate corrective action was initiated.,Lifting,Yes,Critical,99,Corrective action and follow-up required
OIL-SAF-00306,2025-12-02,Maintenance Area,Near Miss,scaffold had missing guardrails during inspection at the maintenance area.,Working at Height,No,Low,7,Stop activity and correct hazard
OIL-SAF-03794,2025-03-10,Drilling Site,Unsafe Act,entered tank without permit during loading/unloading at the drilling site. No immediate injury was reported.,Confined Space,No,Low,40,Stop activity and correct hazard
OIL-SAF-02202,2026-01-27,Refinery,Near Miss,scaffold had missing guardrails during routine maintenance at the refinery. Immediate corrective action was initiated.,Working at Height,Yes,High,86,Corrective action and follow-up required
OIL-SAF-01062,2025-11-15,Workshop,Near Miss,alarm was ignored during process operation during inspection at the workshop. Immediate corrective action was initiated.,Process Safety,Yes,Critical,95,Immediate intervention required
OIL-SAF-00844,2025-04-08,Workshop,Near Miss,worker was exposed to high pressure line during loading/unloading at the workshop. No immediate injury was reported.,Pressure,No,Low,39,Corrective action and follow-up required
OIL-SAF-03873,2025-08-14,Workshop,Unsafe Act,hot work was performed without adequate fire protection during loading/unloading at the workshop. Immediate corrective action was initiated.,Fire/Explosion,Yes,High,94,Immediate intervention required
OIL-SAF-02252,2026-07-07,Maintenance Area,Near Miss,damaged electrical cable was found in work area during routine maintenance at the maintenance area. Immediate corrective action was initiated.,Electrical,Yes,Critical,68,Immediate intervention required
OIL-SAF-00212,2025-01-04,Gas Processing Plant,Unsafe Act,load was unstable during lifting during contractor activity at the gas processing plant.,Lifting,No,Low,13,Immediate intervention required
OIL-SAF-03998,2026-03-28,Maintenance Area,Unsafe Condition,worker was working at height without fall protection during equipment maintenance at the maintenance area. Immediate corrective action was initiated.,Working at Height,Yes,Critical,79,Corrective action and follow-up required
OIL-SAF-00680,2025-09-29,Pipeline Area,Unsafe Condition,maintenance was performed without electrical lockout during loading/unloading at the pipeline area. Immediate corrective action was initiated.,Electrical,Yes,High,59,Immediate intervention required
OIL-SAF-00566,2025-11-08,Workshop,Unsafe Condition,chemical transfer was performed without proper controls during plant operation at the workshop. Immediate corrective action was initiated.,Chemical Exposure,Yes,Critical,75,Supervisor review required
OIL-SAF-03291,2025-02-11,Production Unit,Unsafe Act,entered tank without permit during plant operation at the production unit. Immediate corrective action was initiated.,Confined Space,Yes,High,93,Supervisor review required
OIL-SAF-04355,2026-03-18,Drilling Site,Unsafe Condition,alarm was ignored during process operation during contractor activity at the drilling site. Immediate corrective action was initiated.,Process Safety,Yes,High,88,Stop activity and correct hazard
OIL-SAF-00681,2026-08-04,Production Unit,Unsafe Act,worker stood within equipment blind spot during plant operation at the production unit. Immediate corrective action was initiated.,Heavy Equipment,Yes,High,92,Corrective action and follow-up required
OIL-SAF-00181,2025-10-16,Loading Area,Unsafe Condition,entered confined space without gas testing during plant operation at the loading area. Immediate corrective action was initiated.,Confined Space,Yes,High,92,Supervisor review required
OIL-SAF-04280,2026-07-24,Workshop,Unsafe Condition,worker entered the operating area of heavy equipment during routine maintenance at the workshop. Immediate corrective action was initiated.,Heavy Equipment,Yes,High,95,Immediate intervention required
OIL-SAF-02496,2025-05-28,Maintenance Area,Unsafe Act,pressurized equipment was opened without depressurization during inspection at the maintenance area. Immediate corrective action was initiated.,Pressure,Yes,High,70,Corrective action and follow-up required
OIL-SAF-02317,2025-03-14,Drilling Site,Unsafe Act,pressurized equipment was opened without depressurization during loading/unloading at the drilling site. Immediate corrective action was initiated.,Pressure,Yes,Critical,78,Inspect area and implement controls
OIL-SAF-04274,2025-09-30,Refinery,Near Miss,damaged electrical cable was found in work area during inspection at the refinery. Immediate corrective action was initiated.,Electrical,Yes,Critical,78,Supervisor review required
OIL-SAF-00279,2026-04-01,Production Unit,Near Miss,pressurized equipment was opened without depressurization during loading/unloading at the production unit. Immediate corrective action was initiated.,Pressure,Yes,High,63,Immediate intervention required
OIL-SAF-03684,2025-12-27,Production Unit,Unsafe Condition,load was unstable during lifting during equipment maintenance at the production unit. No immediate injury was reported.,Lifting,No,Low,47,Supervisor review required
OIL-SAF-04763,2025-08-27,Refinery,Unsafe Condition,hot work was performed without adequate fire protection during contractor activity at the refinery. Immediate corrective action was initiated.,Fire/Explosion,Yes,High,73,Corrective action and follow-up required
OIL-SAF-00433,2026-08-13,Loading Area,Unsafe Act,worker was exposed to high pressure line during equipment maintenance at the loading area. Immediate corrective action was initiated.,Pressure,Yes,Critical,85,Immediate intervention required
OIL-SAF-00290,2026-03-21,Production Unit,Unsafe Condition,operating procedure was not followed during routine maintenance at the production unit. Immediate corrective action was initiated.,Process Safety,Yes,High,70,Immediate intervention required
OIL-SAF-01028,2025-05-22,Production Unit,Unsafe Condition,worker was working at height without fall protection during plant operation at the production unit.,Working at Height,Yes,Critical,79,Corrective action and follow-up required
OIL-SAF-00536,2026-08-10,Refinery,Unsafe Act,crane load was moved over personnel during contractor activity at the refinery. Immediate corrective action was initiated.,Heavy Equipment,Yes,Critical,65,Corrective action and follow-up required
OIL-SAF-03632,2025-02-18,Workshop,Unsafe Act,lifting operation was conducted without proper rigging during inspection at the workshop. Immediate corrective action was initiated.,Lifting,Yes,High,75,Corrective action and follow-up required
OIL-SAF-00189,2025-07-28,Production Unit,Unsafe Act,lifting operation was conducted without proper rigging during inspection at the production unit. Immediate corrective action was initiated.,Lifting,Yes,High,81,Supervisor review required
OIL-SAF-02175,2026-04-07,Workshop,Unsafe Condition,person stood too close to suspended load during routine maintenance at the workshop.,Lifting,No,Low,39,Supervisor review required
OIL-SAF-03916,2025-04-25,Refinery,Near Miss,crane load was moved over personnel during equipment maintenance at the refinery.,Heavy Equipment,Yes,High,86,Stop activity and correct hazard
OIL-SAF-01863,2026-05-06,Loading Area,Unsafe Condition,oil spill was observed on walking surface during plant operation at the loading area.,Housekeeping,No,Low,53,Corrective action and follow-up required
OIL-SAF-00271,2025-05-19,Maintenance Area,Unsafe Condition,alarm was ignored during process operation during contractor activity at the maintenance area.,Process Safety,Yes,High,87,Supervisor review required
OIL-SAF-01729,2025-02-18,Workshop,Unsafe Condition,critical safety barrier was bypassed during plant operation at the workshop. Immediate corrective action was initiated.,Process Safety,Yes,Medium,69,Inspect area and implement controls
OIL-SAF-04076,2026-04-10,Gas Processing Plant,Unsafe Condition,flammable material was stored near ignition source during inspection at the gas processing plant. Immediate corrective action was initiated.,Fire/Explosion,Yes,Critical,68,Stop activity and correct hazard
OIL-SAF-02158,2026-04-20,Production Unit,Unsafe Condition,electrical panel was opened without isolation during routine maintenance at the production unit.,Electrical,Yes,Medium,68,Immediate intervention required
OIL-SAF-03932,2026-01-07,Gas Processing Plant,Unsafe Act,worker was exposed to high pressure line during loading/unloading at the gas processing plant. Immediate corrective action was initiated.,Pressure,Yes,Critical,97,Supervisor review required
OIL-SAF-00112,2026-05-03,Maintenance Area,Unsafe Act,lockout tagout was not applied before maintenance during routine maintenance at the maintenance area.,Energy Isolation,Yes,Critical,88,Supervisor review required
OIL-SAF-02385,2026-04-02,Loading Area,Unsafe Condition,chemical transfer was performed without proper controls during inspection at the loading area. Immediate corrective action was initiated.,Chemical Exposure,Yes,Critical,69,Immediate intervention required
OIL-SAF-00221,2026-07-27,Maintenance Area,Unsafe Act,work area contained an obstruction during routine maintenance at the maintenance area. No immediate injury was reported.,Housekeeping,No,Low,7,Stop activity and correct hazard
OIL-SAF-00628,2025-07-03,Production Unit,Near Miss,safety goggles were missing during routine maintenance at the production unit. No immediate injury was reported.,PPE,No,Medium,10,Inspect area and implement controls
OIL-SAF-01182,2025-04-13,Storage Area,Near Miss,oil spill was observed on walking surface during equipment maintenance at the storage area. No immediate injury was reported.,Housekeeping,No,Low,31,Stop activity and correct hazard
OIL-SAF-03382,2025-09-21,Gas Processing Plant,Unsafe Condition,chemical transfer was performed without proper controls during routine maintenance at the gas processing plant. Immediate corrective action was initiated.,Chemical Exposure,Yes,High,97,Supervisor review required
OIL-SAF-02423,2025-09-27,Pipeline Area,Unsafe Act,pressurized equipment was opened without depressurization during contractor activity at the pipeline area. Immediate corrective action was initiated.,Pressure,Yes,Critical,70,Stop activity and correct hazard
OIL-SAF-00791,2025-01-29,Drilling Site,Unsafe Act,materials were stacked unsafely during contractor activity at the drilling site.,Housekeeping,No,Low,9,Supervisor review required
OIL-SAF-04276,2025-09-28,Workshop,Near Miss,person stood too close to suspended load during routine maintenance at the workshop. Immediate corrective action was initiated.,Lifting,Yes,High,90,Corrective action and follow-up required
OIL-SAF-00462,2026-08-09,Gas Processing Plant,Unsafe Condition,safety goggles were missing during equipment maintenance at the gas processing plant.,PPE,No,Low,26,Supervisor review required
OIL-SAF-04403,2026-06-23,Maintenance Area,Near Miss,worker started maintenance without verifying zero energy during routine maintenance at the maintenance area. Immediate corrective action was initiated.,Energy Isolation,Yes,High,90,Supervisor review required
OIL-SAF-00552,2025-11-16,Refinery,Unsafe Condition,technician used ladder without proper fall protection during routine maintenance at the refinery. Immediate corrective action was initiated.,Working at Height,Yes,Critical,74,Stop activity and correct hazard
OIL-SAF-03130,2025-10-20,Drilling Site,Near Miss,poor housekeeping created a slip hazard during contractor activity at the drilling site.,Housekeeping,No,Medium,15,Immediate intervention required
OIL-SAF-01445,2025-02-14,Workshop,Unsafe Condition,scaffold had missing guardrails during inspection at the workshop.,Working at Height,Yes,High,96,Inspect area and implement controls
OIL-SAF-00199,2026-07-11,Refinery,Unsafe Act,maintenance was performed without electrical lockout during plant operation at the refinery. Immediate corrective action was initiated.,Electrical,Yes,High,76,Corrective action and follow-up required
OIL-SAF-02590,2026-04-03,Gas Processing Plant,Near Miss,entered confined space without gas testing during inspection at the gas processing plant. Immediate corrective action was initiated.,Confined Space,Yes,High,95,Corrective action and follow-up required
OIL-SAF-00403,2025-04-09,Refinery,Unsafe Condition,process deviation was observed without corrective action during loading/unloading at the refinery. Immediate corrective action was initiated.,Process Safety,Yes,Critical,75,Stop activity and correct hazard
OIL-SAF-03960,2025-10-28,Workshop,Near Miss,load was unstable during lifting during inspection at the workshop.,Lifting,No,Low,47,Corrective action and follow-up required
OIL-SAF-04190,2025-06-30,Storage Area,Near Miss,person stood too close to suspended load during inspection at the storage area. Immediate corrective action was initiated.,Lifting,Yes,Critical,85,Inspect area and implement controls
OIL-SAF-04764,2026-02-04,Loading Area,Unsafe Act,process deviation was observed without corrective action during equipment maintenance at the loading area.,Process Safety,No,Low,21,Corrective action and follow-up required
OIL-SAF-02096,2026-04-05,Storage Area,Unsafe Act,pressure relief system was bypassed during loading/unloading at the storage area.,Pressure,No,Low,22,Immediate intervention required
OIL-SAF-02901,2025-11-03,Maintenance Area,Unsafe Act,process deviation was observed without corrective action during inspection at the maintenance area. Immediate corrective action was initiated.,Process Safety,Yes,Critical,72,Inspect area and implement controls
OIL-SAF-04463,2025-06-24,Maintenance Area,Unsafe Condition,entered tank without permit during loading/unloading at the maintenance area.,Confined Space,No,Medium,16,Supervisor review required
OIL-SAF-00651,2026-01-07,Storage Area,Near Miss,safety gloves were not used during plant operation at the storage area. No immediate injury was reported.,PPE,No,Medium,48,Immediate intervention required
OIL-SAF-00709,2025-09-24,Pipeline Area,Unsafe Condition,worker stood within equipment blind spot during routine maintenance at the pipeline area. Immediate corrective action was initiated.,Heavy Equipment,Yes,High,90,Stop activity and correct hazard
OIL-SAF-01481,2025-09-14,Production Unit,Unsafe Act,lockout tagout was not applied before maintenance during contractor activity at the production unit. Immediate corrective action was initiated.,Energy Isolation,Yes,High,94,Immediate intervention required
OIL-SAF-04415,2025-12-13,Production Unit,Unsafe Condition,crane load was moved over personnel during contractor activity at the production unit. Immediate corrective action was initiated.,Heavy Equipment,Yes,Medium,78,Immediate intervention required
OIL-SAF-03066,2025-02-22,Refinery,Near Miss,pressurized equipment was opened without depressurization during loading/unloading at the refinery.,Pressure,Yes,Medium,57,Supervisor review required
OIL-SAF-02396,2025-08-21,Loading Area,Unsafe Condition,electrical panel was opened without isolation during contractor activity at the loading area. Immediate corrective action was initiated.,Electrical,Yes,Critical,74,Stop activity and correct hazard
OIL-SAF-01770,2026-08-10,Refinery,Unsafe Condition,crane load was moved over personnel during loading/unloading at the refinery.,Heavy Equipment,Yes,Medium,56,Inspect area and implement controls
OIL-SAF-00315,2025-09-04,Storage Area,Near Miss,confined-space entry permit was missing during routine maintenance at the storage area. Immediate corrective action was initiated.,Confined Space,Yes,Critical,65,Inspect area and implement controls
OIL-SAF-03762,2026-03-03,Storage Area,Unsafe Condition,critical safety barrier was bypassed during plant operation at the storage area.,Process Safety,Yes,High,75,Immediate intervention required
OIL-SAF-04910,2026-07-28,Pipeline Area,Near Miss,safety gloves were not used during routine maintenance at the pipeline area.,PPE,No,Low,35,Immediate intervention required
OIL-SAF-00114,2025-06-01,Production Unit,Unsafe Condition,toxic vapor was observed in work area during routine maintenance at the production unit. Immediate corrective action was initiated.,Chemical Exposure,Yes,Critical,59,Immediate intervention required
